,activityobjectid,activitycodetypeobjectid,activitycodeobjectid,projectobjectid,activitycodedescription,activitycodetypename,activitycodetypescope,activitycodevalue,activityid,activityname,issecurecode,lastupdateuser,lastupdatedate,createuser,createdate
12,2605585,2287,13333,4829,1st Re-Baseline Activity,G19 - Baseline Rev,AS_Global,BL1,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:31.207000000
13,2605585,2288,13334,4829,Not applicable,G22 - Interface Links Projects,AS_Global,N/A,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:31.247000000
14,2605585,2289,13337,4829,Not applicable,G27 - Cx Phase,AS_Global,N/A,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:31.283000000
15,3889602,2274,13282,4829,Phase 4 - Design,G02 - JSTEPS,AS_Global,P4,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2023-06-04 15:40:21.783000000,Goudiabys,2022-03-08 12:18:40.703000000
16,3889602,2275,13286,4829,PMC - Project Management Contract,G05 - Contract Type,AS_Global,1,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:40.767000000
17,3889602,2276,13287,4829,JESA Morocco,G07 - Location,AS_Global,1,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:40.790000000
18,3889602,2277,13288,4829,Flexibility,G08 - Project Gender,AS_Global,B,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:40.853000000
19,3889602,2278,13370,4829,MM - Contract Signature,G10 - OCP Field - Milestones,AS_Global,CON,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:40.900000000
20,3889602,2279,13293,4829,ISBL & OSBL Common,G11 - Battery Limit,AS_Global,C0,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:40.923000000
21,3889602,2280,13294,4829,JESA,G12 - Supplier / Subs,AS_Global,JSA,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:40.947000000
22,3889602,2281,13310,4829,Not applicable,G14 - Equipment Type,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:40.973000000
23,3889602,2282,13315,4829,Not applicable,G15 - Cx Systems,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41
24,3889602,2284,13327,4829,Initial Scope,G17 - Change Mgmt,AS_Global,INS,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.023000000
25,3889602,2285,13328,4829,Not applicable,G18 - Early Warning,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.047000000
26,3889602,2286,13331,4829,Not applicable,G18a - Warning Activity Identifier,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.070000000
27,3889602,2287,13333,4829,1st Re-Baseline Activity,G19 - Baseline Rev,AS_Global,BL1,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.130000000
28,3889602,2288,13334,4829,Not applicable,G22 - Interface Links Projects,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.157000000
29,3889602,2289,13337,4829,Not applicable,G27 - Cx Phase,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.233000000
30,3889602,2290,13340,4829,Not applicable,G28 - Fab Work Location,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.253000000
31,3889602,2291,13344,4829,Not applicable,G29 - Interface Among Subs / Handover,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.280000000
32,3889602,2292,13349,4829,Not applicable,G30 - Milestone Payments,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.300000000
33,3889602,2293,13350,4829,Not applicable,G31 - Procurement Priority,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.323000000
34,3889602,2294,13352,4829,Not applicable,G33 - Pipe Size,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.347000000
35,3889602,2295,13355,4829,Not applicable,G35 - Sub-Contractor Mode,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.370000000
36,3889602,2296,13358,4829,Not applicable,G36 - Project Document Types,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.390000000
37,3889602,2297,13361,4829,Not applicable,G37 - IPCS Level 2 (Optional),AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.413000000
38,3889602,2300,13377,4829,Terminal Station,Zone,AS_Project,4.TS,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.537000000
39,3889602,2301,13399,4829,Silica Line,Package,AS_Project,SLC,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.590000000
40,3889602,5262,16985,4829,Sub-Contractor Schedule,G38 - Sub-Contractor or Vendor schedule,AS_Global,SUB,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.613000000
41,3889602,11778,33641,4829,Not applicable,G16 - Discipline,AS_Global,N/A,ST-P-140,Slurry Tks - Lancement AO _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 12:18:41.643000000
42,3889604,2274,13282,4829,Phase 4 - Design,G02 - JSTEPS,AS_Global,P4,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2023-06-04 15:40:21.793000000,Goudiabys,2022-03-08 13:20:18.593000000
43,3889604,2275,13286,4829,PMC - Project Management Contract,G05 - Contract Type,AS_Global,1,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.617000000
44,3889604,2276,13287,4829,JESA Morocco,G07 - Location,AS_Global,1,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.640000000
45,3889604,2277,13288,4829,Flexibility,G08 - Project Gender,AS_Global,B,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.660000000
46,3889604,2278,13370,4829,MM - Contract Signature,G10 - OCP Field - Milestones,AS_Global,CON,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.683000000
47,3889604,2279,13293,4829,ISBL & OSBL Common,G11 - Battery Limit,AS_Global,C0,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.707000000
48,3889604,2280,13294,4829,JESA,G12 - Supplier / Subs,AS_Global,JSA,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.730000000
49,3889604,2281,13310,4829,Not applicable,G14 - Equipment Type,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.753000000
50,3889604,2282,13315,4829,Not applicable,G15 - Cx Systems,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.777000000
51,3889604,2284,13327,4829,Initial Scope,G17 - Change Mgmt,AS_Global,INS,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.800000000
52,3889604,2285,13328,4829,Not applicable,G18 - Early Warning,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.820000000
53,3889604,2286,13331,4829,Not applicable,G18a - Warning Activity Identifier,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.843000000
54,3889604,2287,13333,4829,1st Re-Baseline Activity,G19 - Baseline Rev,AS_Global,BL1,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.867000000
55,3889604,2288,13334,4829,Not applicable,G22 - Interface Links Projects,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.890000000
56,3889604,2289,13337,4829,Not applicable,G27 - Cx Phase,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.910000000
57,3889604,2290,13340,4829,Not applicable,G28 - Fab Work Location,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.933000000
58,3889604,2291,13344,4829,Not applicable,G29 - Interface Among Subs / Handover,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.957000000
59,3889604,2292,13349,4829,Not applicable,G30 - Milestone Payments,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:18.980000000
60,3889604,2293,13350,4829,Not applicable,G31 - Procurement Priority,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.003000000
61,3889604,2294,13352,4829,Not applicable,G33 - Pipe Size,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.027000000
62,3889604,2295,13355,4829,Not applicable,G35 - Sub-Contractor Mode,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.050000000
63,3889604,2296,13358,4829,Not applicable,G36 - Project Document Types,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.070000000
64,3889604,2297,13361,4829,Not applicable,G37 - IPCS Level 2 (Optional),AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.097000000
65,3889604,2300,13377,4829,Terminal Station,Zone,AS_Project,4.TS,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.120000000
66,3889604,2301,13399,4829,Silica Line,Package,AS_Project,SLC,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.143000000
67,3889604,5262,16985,4829,Sub-Contractor Schedule,G38 - Sub-Contractor or Vendor schedule,AS_Global,SUB,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.167000000
68,3889604,11778,33641,4829,Not applicable,G16 - Discipline,AS_Global,N/A,ST-P-150,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:19.190000000
69,3889605,2274,13282,4829,Phase 4 - Design,G02 - JSTEPS,AS_Global,P4,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2023-06-04 15:40:21.803000000,Goudiabys,2022-03-08 13:20:24.520000000
70,3889605,2275,13286,4829,PMC - Project Management Contract,G05 - Contract Type,AS_Global,1,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.543000000
71,3889605,2276,13287,4829,JESA Morocco,G07 - Location,AS_Global,1,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.567000000
72,3889605,2277,13288,4829,Flexibility,G08 - Project Gender,AS_Global,B,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.587000000
73,3889605,2278,13370,4829,MM - Contract Signature,G10 - OCP Field - Milestones,AS_Global,CON,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.610000000
74,3889605,2279,13293,4829,ISBL & OSBL Common,G11 - Battery Limit,AS_Global,C0,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.633000000
75,3889605,2280,13294,4829,JESA,G12 - Supplier / Subs,AS_Global,JSA,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.657000000
76,3889605,2281,13310,4829,Not applicable,G14 - Equipment Type,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.680000000
77,3889605,2282,13315,4829,Not applicable,G15 - Cx Systems,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.700000000
78,3889605,2284,13327,4829,Initial Scope,G17 - Change Mgmt,AS_Global,INS,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.723000000
79,3889605,2285,13328,4829,Not applicable,G18 - Early Warning,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.747000000
80,3889605,2286,13331,4829,Not applicable,G18a - Warning Activity Identifier,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.770000000
81,3889605,2287,13333,4829,1st Re-Baseline Activity,G19 - Baseline Rev,AS_Global,BL1,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.793000000
82,3889605,2288,13334,4829,Not applicable,G22 - Interface Links Projects,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.830000000
83,3889605,2289,13337,4829,Not applicable,G27 - Cx Phase,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.850000000
84,3889605,2290,13340,4829,Not applicable,G28 - Fab Work Location,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.873000000
85,3889605,2291,13344,4829,Not applicable,G29 - Interface Among Subs / Handover,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.893000000
86,3889605,2292,13349,4829,Not applicable,G30 - Milestone Payments,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.917000000
87,3889605,2293,13350,4829,Not applicable,G31 - Procurement Priority,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.937000000
88,3889605,2294,13352,4829,Not applicable,G33 - Pipe Size,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.960000000
89,3889605,2295,13355,4829,Not applicable,G35 - Sub-Contractor Mode,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:24.983000000
90,3889605,2296,13358,4829,Not applicable,G36 - Project Document Types,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:25.007000000
91,3889605,2297,13361,4829,Not applicable,G37 - IPCS Level 2 (Optional),AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:25.027000000
92,3889605,2300,13377,4829,Terminal Station,Zone,AS_Project,4.TS,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:25.050000000
93,3889605,2301,13399,4829,Silica Line,Package,AS_Project,SLC,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:25.073000000
94,3889605,5262,16985,4829,Sub-Contractor Schedule,G38 - Sub-Contractor or Vendor schedule,AS_Global,SUB,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:25.097000000
95,3889605,11778,33641,4829,Not applicable,G16 - Discipline,AS_Global,N/A,ST-P-160,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:25.120000000
96,3889606,2274,13282,4829,Phase 4 - Design,G02 - JSTEPS,AS_Global,P4,ST-P-170,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,N,Goudiabys,2023-06-04 15:40:21.810000000,Goudiabys,2022-03-08 13:20:30.287000000
97,3889606,2275,13286,4829,PMC - Project Management Contract,G05 - Contract Type,AS_Global,1,ST-P-170,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:30.310000000
98,3889606,2276,13287,4829,JESA Morocco,G07 - Location,AS_Global,1,ST-P-170,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:30.333000000
99,3889606,2277,13288,4829,Flexibility,G08 - Project Gender,AS_Global,B,ST-P-170,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:30.353000000
100,3889606,2278,13370,4829,MM - Contract Signature,G10 - OCP Field - Milestones,AS_Global,CON,ST-P-170,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:30.377000000
101,3889606,2279,13293,4829,ISBL & OSBL Common,G11 - Battery Limit,AS_Global,C0,ST-P-170,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:30.660000000
102,3889606,2280,13294,4829,JESA,G12 - Supplier / Subs,AS_Global,JSA,ST-P-170,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:30.683000000
103,3889606,2281,13310,4829,Not applicable,G14 - Equipment Type,AS_Global,N/A,ST-P-170,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2022-03-08 13:20:30.707000000
