,parentobjectid,parentprojectid,parentname,parentid,childobjectid,childprojectid,childname,childid,fullpathname,parentlevelsbelowroot
19,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27829,4829,ENG- Slurry Transfert - DWS to local Tanks,TF,Q2191-BL.DD.TF,1
20,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27830,4829,PRC- Pipe Loop for Flash Water,WL,Q2191-BL.PR.WL,1
21,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27831,4829,"ENG- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.DD.TK,1
22,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27832,4829,"PRC - General (VDS, Fire Protection, Access Upgrade)",CM,Q2191-BL.PR.CM,1
23,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27833,4829,ENG- Pipe Loop for Flash Water,WL,Q2191-BL.DD.WL,1
24,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27834,4829,"COM- General (VDS, Fire Protection, Acess Upgrade)",CM,Q2191-BL.CS.CM,1
25,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27835,4829,ENG - Silica Line,1,Q2191-BL.DD.1,1
26,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27836,4829,"CONS- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.CN.TK,1
27,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27837,4829,"PRC- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.PR.TK,1
28,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27838,4829,"MLS- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.ML.TK,1
29,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27840,4829,MLS- Pipe Loop for Flash Water,WL,Q2191-BL.ML.WL,1
30,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27841,4829,"PRC- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.1.TK,1
31,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27839,4829,"MLS- Common (VDS, Fire Protection, Access Upgrade)",CM,Q2191-BL.ML.CM,1
32,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27842,4829,CONS- Slurry Transfert - DWS to local Tanks,TF,Q2191-BL.CN.TF,1
33,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27843,4829,CONS- Pipe Loop for Flash Water,WL,Q2191-BL.CN.WL,1
34,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27844,4829,CONS- Silica Line,SL,Q2191-BL.CN.SL,1
35,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27845,4829,PRC- Pipe Loop for Flash Water,WL,Q2191-BL.1.WL,1
36,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27847,4829,PRC- Pumps,PM,Q2191-BL.PR.TF.PM,1
37,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27846,4829,PRC- Electrical & Instruments,EI,Q2191-BL.PR.TK.EI,1
38,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27848,4829,Head Station,HS,Q2191-BL.CS.TK.HS,1
39,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27850,4829,PRC- Fire Protection,FP,Q2191-BL.1.CM.FP,1
40,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27849,4829,ENG- Fire Protection,FP,Q2191-BL.DD.CM.FP,1
41,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27851,4829,Potential Issues for Delay TRANSFERT,DL,Q2191-BL.PR.WL.DL,1
42,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27852,4829,PRC- Slurry Valves,VL,Q2191-BL.PR.TF.VL,1
43,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27853,4829,PRC- Slurry Valves,VL,Q2191-BL.1.TK.VL,1
44,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27854,4829,COM- VDS,VD,Q2191-BL.CS.CM.VD,1
45,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27855,4829,COM- Fire Protection,FP,Q2191-BL.CS.CM.FP,1
46,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27856,4829,ENG - Additional Storage Tanks - Daoui,DO,Q2191-BL.DD.TK.DO,1
47,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27857,4829,PRC- Structure Access Upgrades,AC,Q2191-BL.PR.CM.AC,1
48,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27858,4829,Terminal Station,TS,Q2191-BL.CS.TK.TS,1
49,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27859,4829,Daoui,DO,Q2191-BL.CS.TK.DO,1
50,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27860,4829,Beni Amir,BA,Q2191-BL.CS.TK.BA,1
51,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27861,4829,ENG - Additional Storage Tanks -Terminal Station,TS,Q2191-BL.DD.TK.TS,1
52,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27862,4829,CONS - VDS (Video Surveillance System),VD,Q2191-BL.CN.CM.VD,1
53,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27863,4829,PRC- Tanks,TK,Q2191-BL.PR.TK.TK,1
54,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27864,4829,ENG - Additional Storage Tanks - Head Station,HS,Q2191-BL.DD.TK.HS,1
55,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27865,4829,PRC- Slurry Valves,VL,Q2191-BL.1.TF.VL,1
56,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27866,4829,CONS- Potential delay,1,Q2191-BL.1.TF.1,1
57,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27867,4829,PRC- E&I (Planning not approved),EI,Q2191-BL.1.TF.EI,1
58,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27868,4829,PRC- VDS (Video Surveillance System),VD,Q2191-BL.1.CM.VD,1
59,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27869,4829,ENG - VDS,VD,Q2191-BL.DD.CM.VD,1
60,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27870,4829,PRC- Structure Access Upgrades,AC,Q2191-BL.1.CM.AC,1
61,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27871,4829,CONS- Additional Tanks - Head Station,TK2,Q2191-BL.CN.TK.TK2,1
62,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27872,4829,Engineering (JESA),00,Q2191-BL.DD.TF.00,1
63,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27873,4829,EG - Access Upgrade,UG,Q2191-BL.DD.CM.UG,1
64,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27874,4829,PRC- Fire Protection,FP,Q2191-BL.PR.CM.FP,1
65,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27875,4829,PRC- VDS (Video Surveillance System),VD,Q2191-BL.PR.CM.VD,1
66,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27876,4829,PRC- Tanks,TK,Q2191-BL.1.TK.TK,1
67,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27877,4829,CONS- Additional Tanks - Beni Amir,TK3,Q2191-BL.CN.TK.TK3,1
68,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27878,4829,COM - Access Upgrade,AC,Q2191-BL.CS.CM.AC,1
69,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27880,4829,CONS- Additional Tanks - Terminal Station,TK1,Q2191-BL.CN.TK.TK1,1
70,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27879,4829,PRC- Slurry Valves,VL,Q2191-BL.PR.TK.VL,1
71,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27881,4829,Silica Line - Mechanical Parts,PM,Q2191-BL.CN.SL.PM,1
72,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27882,4829,ENG - Additional Storage Tanks - Beni Amir,BA,Q2191-BL.DD.TK.BA,1
73,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27883,4829,CONS - Fire Protection,FP,Q2191-BL.CN.CM.FP,1
74,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27884,4829,"DWS Loop Erection, Cx & Start-Up",ER,Q2191-BL.CN.WL.ER,1
75,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27885,4829,PRC- Pumps,PM,Q2191-BL.1.TF.PM,1
76,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27886,4829,Silica Line - Structural Works,ST,Q2191-BL.CN.SL.ST,1
77,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27888,4829,PRC- Agitators,AG,Q2191-BL.1.TK.AG,1
78,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27889,4829,CONS - Slurry Transfert - Terminal Station,TS,Q2191-BL.CN.TF.TS,1
79,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27887,4829,Silica Line - Piping,PP,Q2191-BL.CN.SL.PP,1
80,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27890,4829,Engineering (STROC),01,Q2191-BL.DD.TF.01,1
81,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27891,4829,PRC- Agitators,AG,Q2191-BL.PR.TK.AG,1
82,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27892,4829,CONS - Structure Access,AC,Q2191-BL.CN.CM.AC,1
83,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27894,4829,CONS-Daoui Splitter Box,TK,Q2191-BL.CN.TK.TK,1
84,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27893,4829,Silica Line - E&I,EI,Q2191-BL.CN.SL.EI,1
85,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27895,4829,Silica Line - Civil lWorks,CV,Q2191-BL.CN.SL.CV,1
86,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27896,4829,ENG- Agitator Structure & FDN,AG,Q2191-BL.DD.TK.BA.AG,1
87,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27897,4829,ENG - Splitter box,1,Q2191-BL.DD.TK.DO.1,1
88,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27898,4829,ENG - Slurry Tanks,TK,Q2191-BL.DD.TK.HS.TK,1
89,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27899,4829,Daoui,3,Q2191-BL.1.TK.TK.3,1
90,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27900,4829,ENG - Agitator Structure & FDN,AG,Q2191-BL.DD.TK.TS.AG,1
91,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27901,4829,ENG - Piping,PP,Q2191-BL.DD.TK.TS.PP,1
92,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27903,4829,TS Tanks - Structural Parts,ST,Q2191-BL.CN.TK.TK1.ST,1
93,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27902,4829,Potential Issues for Delay,DL,Q2191-BL.PR.TF.PM.DL,1
94,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27904,4829,ENG - Piping,PP,Q2191-BL.DD.TK.HS.PP,1
95,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27905,4829,ENG - Slurry Tanks,TK,Q2191-BL.DD.TK.TS.TK,1
96,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27906,4829,ENG - Piping,PP,Q2191-BL.DD.TK.BA.PP,1
97,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27907,4829,Beni Amir,2,Q2191-BL.1.TK.TK.2,1
98,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27908,4829,Potential Issues for Delay,DL,Q2191-BL.PR.TF.VL.DL,1
99,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27909,4829,Terminal Station,4,Q2191-BL.1.TK.TK.4,1
100,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27910,4829,TS - E&I,EI,Q2191-BL.CN.TK.TK1.EI,1
101,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27911,4829,TS Tanks - Piping,PP,Q2191-BL.CN.TK.TK1.PP,1
102,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27912,4829,ENG - Agitator Structure & FDN,AG,Q2191-BL.DD.TK.HS.AG,1
103,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27913,4829,Daoui Splitter Box - Piping,PP,Q2191-BL.CN.TK.TK.PP,1
104,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27914,4829,Daoui Splitter Box - Structural parts,ST,Q2191-BL.CN.TK.TK.ST,1
105,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27915,4829,Tanks - Head Station,1,Q2191-BL.1.TK.TK.1,1
106,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27916,4829,BA Tanks - Civil Works,CV,Q2191-BL.CN.TK.TK3.CV,1
107,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27917,4829,BA Tanks - Piping,PP,Q2191-BL.CN.TK.TK3.PP,1
108,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27918,4829,BA Tanks - Structural Parts,ST,Q2191-BL.CN.TK.TK3.ST,1
109,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27919,4829,BA E&I,EI,Q2191-BL.CN.TK.TK3.EI,1
110,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27920,4829,BA Agitators,AG,Q2191-BL.CN.TK.TK3.AG,1
111,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27921,4829,ENG - Slurry Tanks   (New Tks FDNs),TK,Q2191-BL.DD.TK.BA.TK,1
112,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27922,4829,Potential Issues for Delay,DL,Q2191-BL.PR.TK.AG.DL,1
113,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27923,4829,TS - Agitators,AG,Q2191-BL.CN.TK.TK1.AG,1
114,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27924,4829,Potential Issues for Delay TANKS,DL,Q2191-BL.PR.TK.TK.DL,1
115,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27925,4829,Potential Delay,1,Q2191-BL.CN.CM.FP.1,1
116,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27926,4829,Potential Issues for Delay EI,DL,Q2191-BL.PR.TK.EI.DL,1
117,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27927,4829,HS - Agitators,AG,Q2191-BL.CN.TK.TK2.AG,1
118,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27928,4829,HS - E&I,EI,Q2191-BL.CN.TK.TK2.EI,1
119,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27929,4829,HS Tanks - Structural part,ST,Q2191-BL.CN.TK.TK2.ST,1
120,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27930,4829,HS Tanks - Piping,PP,Q2191-BL.CN.TK.TK2.PP,1
121,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27931,4829,CONS- Piping,PP,Q2191-BL.CN.TF.TS.PP,1
122,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27932,4829,CONS- E&I,EI,Q2191-BL.CN.TF.TS.EI,1
123,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27933,4829,CONS-  Civil,CV,Q2191-BL.CN.TF.TS.CV,1
124,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27934,4829,CONS- Pumps,PM,Q2191-BL.CN.TF.TS.PM,1
125,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27935,4829,CONS- Structural,ST,Q2191-BL.CN.TF.TS.ST,1
126,27810,4829,Flexibility pipeline Baseline,Q2191-BL,470971,4829,LOF,2,Q2191-BL.2,1
127,27810,4829,Flexibility pipeline Baseline,Q2191-BL,1073270,4829,Priorité N°1,1,Q2191-BL.2.1,1
128,27810,4829,Flexibility pipeline Baseline,Q2191-BL,1073271,4829,Priorité N°2,2,Q2191-BL.2.2,1
129,27811,4829,COMMISSIONING,CS,27878,4829,COM - Access Upgrade,AC,Q2191-BL.CS.CM.AC,2
130,27811,4829,COMMISSIONING,CS,27860,4829,Beni Amir,BA,Q2191-BL.CS.TK.BA,2
131,27811,4829,COMMISSIONING,CS,27859,4829,Daoui,DO,Q2191-BL.CS.TK.DO,2
132,27811,4829,COMMISSIONING,CS,27858,4829,Terminal Station,TS,Q2191-BL.CS.TK.TS,2
133,27811,4829,COMMISSIONING,CS,27855,4829,COM- Fire Protection,FP,Q2191-BL.CS.CM.FP,2
134,27811,4829,COMMISSIONING,CS,27854,4829,COM- VDS,VD,Q2191-BL.CS.CM.VD,2
135,27811,4829,COMMISSIONING,CS,27848,4829,Head Station,HS,Q2191-BL.CS.TK.HS,2
136,27811,4829,COMMISSIONING,CS,27834,4829,"COM- General (VDS, Fire Protection, Acess Upgrade)",CM,Q2191-BL.CS.CM,2
137,27811,4829,COMMISSIONING,CS,27824,4829,"COM- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.CS.TK,2
138,27811,4829,COMMISSIONING,CS,27820,4829,COM- Silica Line,1,Q2191-BL.CS.1,2
139,27811,4829,COMMISSIONING,CS,27819,4829,COM- Slurry Transfert - DWS to local Tanks,TF,Q2191-BL.CS.TF,2
140,27811,4829,COMMISSIONING,CS,27817,4829,COM- Pipe Loop for Flash Water,WL,Q2191-BL.CS.WL,2
141,27811,4829,COMMISSIONING,CS,27811,4829,COMMISSIONING,CS,Q2191-BL.CS,2
142,27812,4829,CONSTRUCTION,CN,27812,4829,CONSTRUCTION,CN,Q2191-BL.CN,2
143,27812,4829,CONSTRUCTION,CN,27823,4829,"CONS- General (VDS, Fire Protection, Access Upgrade)",CM,Q2191-BL.CN.CM,2
144,27812,4829,CONSTRUCTION,CN,27836,4829,"CONS- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.CN.TK,2
145,27812,4829,CONSTRUCTION,CN,27844,4829,CONS- Silica Line,SL,Q2191-BL.CN.SL,2
146,27812,4829,CONSTRUCTION,CN,27843,4829,CONS- Pipe Loop for Flash Water,WL,Q2191-BL.CN.WL,2
147,27812,4829,CONSTRUCTION,CN,27842,4829,CONS- Slurry Transfert - DWS to local Tanks,TF,Q2191-BL.CN.TF,2
148,27812,4829,CONSTRUCTION,CN,27862,4829,CONS - VDS (Video Surveillance System),VD,Q2191-BL.CN.CM.VD,2
149,27812,4829,CONSTRUCTION,CN,27871,4829,CONS- Additional Tanks - Head Station,TK2,Q2191-BL.CN.TK.TK2,2
150,27812,4829,CONSTRUCTION,CN,27880,4829,CONS- Additional Tanks - Terminal Station,TK1,Q2191-BL.CN.TK.TK1,2
151,27812,4829,CONSTRUCTION,CN,27877,4829,CONS- Additional Tanks - Beni Amir,TK3,Q2191-BL.CN.TK.TK3,2
152,27812,4829,CONSTRUCTION,CN,27884,4829,"DWS Loop Erection, Cx & Start-Up",ER,Q2191-BL.CN.WL.ER,2
153,27812,4829,CONSTRUCTION,CN,27883,4829,CONS - Fire Protection,FP,Q2191-BL.CN.CM.FP,2
154,27812,4829,CONSTRUCTION,CN,27881,4829,Silica Line - Mechanical Parts,PM,Q2191-BL.CN.SL.PM,2
155,27812,4829,CONSTRUCTION,CN,27895,4829,Silica Line - Civil lWorks,CV,Q2191-BL.CN.SL.CV,2
156,27812,4829,CONSTRUCTION,CN,27893,4829,Silica Line - E&I,EI,Q2191-BL.CN.SL.EI,2
157,27812,4829,CONSTRUCTION,CN,27894,4829,CONS-Daoui Splitter Box,TK,Q2191-BL.CN.TK.TK,2
158,27812,4829,CONSTRUCTION,CN,27892,4829,CONS - Structure Access,AC,Q2191-BL.CN.CM.AC,2
159,27812,4829,CONSTRUCTION,CN,27887,4829,Silica Line - Piping,PP,Q2191-BL.CN.SL.PP,2
160,27812,4829,CONSTRUCTION,CN,27889,4829,CONS - Slurry Transfert - Terminal Station,TS,Q2191-BL.CN.TF.TS,2
161,27812,4829,CONSTRUCTION,CN,27886,4829,Silica Line - Structural Works,ST,Q2191-BL.CN.SL.ST,2
162,27812,4829,CONSTRUCTION,CN,27935,4829,CONS- Structural,ST,Q2191-BL.CN.TF.TS.ST,2
163,27812,4829,CONSTRUCTION,CN,27934,4829,CONS- Pumps,PM,Q2191-BL.CN.TF.TS.PM,2
164,27812,4829,CONSTRUCTION,CN,27933,4829,CONS-  Civil,CV,Q2191-BL.CN.TF.TS.CV,2
165,27812,4829,CONSTRUCTION,CN,27932,4829,CONS- E&I,EI,Q2191-BL.CN.TF.TS.EI,2
166,27812,4829,CONSTRUCTION,CN,27931,4829,CONS- Piping,PP,Q2191-BL.CN.TF.TS.PP,2
167,27812,4829,CONSTRUCTION,CN,27930,4829,HS Tanks - Piping,PP,Q2191-BL.CN.TK.TK2.PP,2
168,27812,4829,CONSTRUCTION,CN,27929,4829,HS Tanks - Structural part,ST,Q2191-BL.CN.TK.TK2.ST,2
169,27812,4829,CONSTRUCTION,CN,27928,4829,HS - E&I,EI,Q2191-BL.CN.TK.TK2.EI,2
170,27812,4829,CONSTRUCTION,CN,27927,4829,HS - Agitators,AG,Q2191-BL.CN.TK.TK2.AG,2
171,27812,4829,CONSTRUCTION,CN,27925,4829,Potential Delay,1,Q2191-BL.CN.CM.FP.1,2
172,27812,4829,CONSTRUCTION,CN,27923,4829,TS - Agitators,AG,Q2191-BL.CN.TK.TK1.AG,2
173,27812,4829,CONSTRUCTION,CN,27920,4829,BA Agitators,AG,Q2191-BL.CN.TK.TK3.AG,2
174,27812,4829,CONSTRUCTION,CN,27919,4829,BA E&I,EI,Q2191-BL.CN.TK.TK3.EI,2
175,27812,4829,CONSTRUCTION,CN,27918,4829,BA Tanks - Structural Parts,ST,Q2191-BL.CN.TK.TK3.ST,2
176,27812,4829,CONSTRUCTION,CN,27917,4829,BA Tanks - Piping,PP,Q2191-BL.CN.TK.TK3.PP,2
177,27812,4829,CONSTRUCTION,CN,27916,4829,BA Tanks - Civil Works,CV,Q2191-BL.CN.TK.TK3.CV,2
178,27812,4829,CONSTRUCTION,CN,27914,4829,Daoui Splitter Box - Structural parts,ST,Q2191-BL.CN.TK.TK.ST,2
179,27812,4829,CONSTRUCTION,CN,27913,4829,Daoui Splitter Box - Piping,PP,Q2191-BL.CN.TK.TK.PP,2
180,27812,4829,CONSTRUCTION,CN,27911,4829,TS Tanks - Piping,PP,Q2191-BL.CN.TK.TK1.PP,2
181,27812,4829,CONSTRUCTION,CN,27910,4829,TS - E&I,EI,Q2191-BL.CN.TK.TK1.EI,2
182,27812,4829,CONSTRUCTION,CN,27903,4829,TS Tanks - Structural Parts,ST,Q2191-BL.CN.TK.TK1.ST,2
183,27813,4829,CONTRACTS / PROCUREMENT,PR,27902,4829,Potential Issues for Delay,DL,Q2191-BL.PR.TF.PM.DL,2
184,27813,4829,CONTRACTS / PROCUREMENT,PR,27908,4829,Potential Issues for Delay,DL,Q2191-BL.PR.TF.VL.DL,2
185,27813,4829,CONTRACTS / PROCUREMENT,PR,27924,4829,Potential Issues for Delay TANKS,DL,Q2191-BL.PR.TK.TK.DL,2
186,27813,4829,CONTRACTS / PROCUREMENT,PR,27922,4829,Potential Issues for Delay,DL,Q2191-BL.PR.TK.AG.DL,2
187,27813,4829,CONTRACTS / PROCUREMENT,PR,27926,4829,Potential Issues for Delay EI,DL,Q2191-BL.PR.TK.EI.DL,2
188,27813,4829,CONTRACTS / PROCUREMENT,PR,27891,4829,PRC- Agitators,AG,Q2191-BL.PR.TK.AG,2
189,27813,4829,CONTRACTS / PROCUREMENT,PR,27879,4829,PRC- Slurry Valves,VL,Q2191-BL.PR.TK.VL,2
190,27813,4829,CONTRACTS / PROCUREMENT,PR,27875,4829,PRC- VDS (Video Surveillance System),VD,Q2191-BL.PR.CM.VD,2
191,27813,4829,CONTRACTS / PROCUREMENT,PR,27874,4829,PRC- Fire Protection,FP,Q2191-BL.PR.CM.FP,2
192,27813,4829,CONTRACTS / PROCUREMENT,PR,27863,4829,PRC- Tanks,TK,Q2191-BL.PR.TK.TK,2
193,27813,4829,CONTRACTS / PROCUREMENT,PR,27847,4829,PRC- Pumps,PM,Q2191-BL.PR.TF.PM,2
194,27813,4829,CONTRACTS / PROCUREMENT,PR,27846,4829,PRC- Electrical & Instruments,EI,Q2191-BL.PR.TK.EI,2
195,27813,4829,CONTRACTS / PROCUREMENT,PR,27857,4829,PRC- Structure Access Upgrades,AC,Q2191-BL.PR.CM.AC,2
196,27813,4829,CONTRACTS / PROCUREMENT,PR,27852,4829,PRC- Slurry Valves,VL,Q2191-BL.PR.TF.VL,2
197,27813,4829,CONTRACTS / PROCUREMENT,PR,27851,4829,Potential Issues for Delay TRANSFERT,DL,Q2191-BL.PR.WL.DL,2
198,27813,4829,CONTRACTS / PROCUREMENT,PR,27837,4829,"PRC- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.PR.TK,2
199,27813,4829,CONTRACTS / PROCUREMENT,PR,27832,4829,"PRC - General (VDS, Fire Protection, Access Upgrade)",CM,Q2191-BL.PR.CM,2
200,27813,4829,CONTRACTS / PROCUREMENT,PR,27830,4829,PRC- Pipe Loop for Flash Water,WL,Q2191-BL.PR.WL,2
