,Id,objectid,projectobjectid,wbsobjectid,wbsname,status,name,baselinestartdate,baselinefinishdate,startdate,finishdate,baselineduration,remainingduration,atcompletionduration,schedulepercentcomplete,primaryresourceobjectid,plannedlaborunits,actuallaborunits,floatpath,floatpathorder,totalfloat,unitspercentcomplete,type,actualstartdate,actualfinishdate,earlystartdate,earlyfinishdate,latestartdate,latefinishdate,calendarname,freefloat
12,ST-P-180,3889607,4829,27818,PRC - Silica Line,Not Started,Slurry Tks - Choix Commercial  _ Silica Line Phase 2,2022-10-31 16:00:00,2022-10-31 16:00:00,2024-03-01 16:00:00,2024-03-01 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,1,5,-7463.800000,.0000000000,Finish Milestone,,,2024-03-01 16:00:00,2024-03-01 16:00:00,2020-05-26 10:12:00,2020-05-26 10:12:00,COVID-19 3 and 4,
13,ST-P-190,3889608,4829,27863,PRC- Tanks,Completed,Slurry Tks - PO Awarded and Signed by OCP _ Silica Line,2018-08-08 16:00:00,2018-08-08 16:00:00,2018-08-08 16:00:00,2018-08-08 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,,.0000000000,Finish Milestone,2018-08-08 16:00:00,2018-08-08 16:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2022-03-15 00:00:00,2022-03-15 00:00:00,COVID-19 3 and 4,
14,ST-P-200,3889609,4829,27863,PRC- Tanks,Completed,Slurry Tks - Lancement AO _ Phase 2 Tanks,2022-03-23 16:00:00,2022-03-23 16:00:00,2022-03-23 16:00:00,2022-03-23 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,,.0000000000,Finish Milestone,2022-03-23 16:00:00,2022-03-23 16:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2020-05-18 10:12:00,2020-05-18 10:12:00,COVID-19 3 and 4,
15,ST-P-210,3889610,4829,27863,PRC- Tanks,Completed,Slurry Tks - Ouverture des offres techniques  _ Phase 2 Tanks,2022-04-18 00:00:00,2022-04-18 00:00:00,2022-04-18 00:00:00,2022-04-18 00:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,,.0000000000,Finish Milestone,2022-04-18 00:00:00,2022-04-18 00:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2020-05-18 10:12:00,2020-05-18 10:12:00,COVID-19 3 and 4,
16,ST-P-220,3889611,4829,27863,PRC- Tanks,Not Started,Slurry Tks - Rapport d’harmonisation  _ Phase 2 Tanks,2022-08-31 08:00:00,2022-08-31 08:00:00,2023-12-29 08:00:00,2023-12-29 08:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,8,1,-7135.800000,.0000000000,Finish Milestone,,,2023-12-29 08:00:00,2023-12-29 08:00:00,2020-05-18 10:12:00,2020-05-18 10:12:00,COVID-19 3 and 4,
17,ST-P-230,3889612,4829,27863,PRC- Tanks,Not Started,Slurry Tks - Ouverture commerciale _ Phase 2 Tanks,2022-09-09 16:00:00,2022-09-09 16:00:00,2024-01-10 16:00:00,2024-01-10 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,8,2,-7135.800000,.0000000000,Finish Milestone,,,2024-01-10 16:00:00,2024-01-10 16:00:00,2020-06-09 10:12:00,2020-06-09 10:12:00,COVID-19 3 and 4,
18,ST-P-240,3889613,4829,27863,PRC- Tanks,Not Started,Slurry Tks - Choix Commercial  _ Phase 2 Tanks,2022-09-21 16:00:00,2022-09-21 16:00:00,2024-01-23 16:00:00,2024-01-23 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,8,3,-7135.800000,.0000000000,Finish Milestone,,,2024-01-23 16:00:00,2024-01-23 16:00:00,2020-06-25 08:12:00,2020-06-25 08:12:00,COVID-19 3 and 4,
19,XF-C-505,3925848,4829,27932,CONS- E&I,Completed,Site Mobilize after COVID Period,2022-03-28 00:00:00,2022-03-28 00:00:00,2022-03-28 00:00:00,2022-03-28 00:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,,.0000000000,Finish Milestone,2022-03-28 00:00:00,2022-03-28 00:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2021-06-16 13:00:00,2021-06-16 13:00:00,COVID-19 Construction,
20,FP-F-340,4022331,4829,27850,PRC- Fire Protection,Not Started,FP - Delivery of remaining Novec Gas accessories,2022-08-31 08:00:00,2022-08-31 08:00:00,2023-12-29 08:00:00,2023-12-29 08:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,-4112.000000,.0000000000,Finish Milestone,,,2023-12-29 08:00:00,2023-12-29 08:00:00,2021-12-21 16:00:00,2021-12-21 16:00:00,COVID-19 3 and 4,
21,ST-C-52a10,4218471,4829,27848,Head Station,Completed,Slurry Tks HS - Essai Hydrostatique,2022-08-31 08:00:00,2022-09-29 16:00:00,2022-08-15 00:00:00,2022-10-03 16:00:00,176.0000000000,.000000,288.0000000000,100.0000000000,,.000000,.000000,,,,.0000000000,Task Dependent,2022-08-15 00:00:00,2022-10-03 16:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2021-09-02 12:00:00,2021-09-02 12:00:00,COVID-19 Construction,
22,XF-C-515,5269853,4829,27932,CONS- E&I,Not Started,Départ pour la communication,,,2023-12-29 08:00:00,2023-12-29 08:00:00,,.000000,.0000000000,.0000000000,,.000000,.000000,,,-5155.000000,.0000000000,Finish Milestone,,,2023-12-29 08:00:00,2023-12-29 08:00:00,2021-06-11 13:00:00,2021-06-11 13:00:00,COVID-19 Construction,
23,LOE-C120,113439,4829,1073271,Priorité N°2,In Progress,TS - Tanks Civil works [LOE],2022-09-29 08:00:00,2023-01-25 16:00:00,2022-09-17 00:00:00,2024-05-29 16:00:00,664.0000000000,832.000000,3424.0000000000,100.0000000000,,.000000,.000000,,,-5234.000000,.0000000000,Level Of Effort,2022-09-17 00:00:00,,2023-12-29 08:00:00,2024-05-29 16:00:00,2021-10-29 14:00:00,2021-10-29 14:00:00,G - Morocco 5 Day 8h w/Holidays,
24,LOE-C190,113440,4829,1073271,Priorité N°2,In Progress,TS - Mechanical Parts [LOE],2019-07-19 00:00:00,2023-03-29 16:00:00,2019-07-19 00:00:00,2024-05-03 12:00:00,7432.0000000000,684.000000,9620.0000000000,100.0000000000,,93561.000000,.000000,,,-4768.000000,.0000000000,Level Of Effort,2019-07-19 00:00:00,,2023-12-29 08:00:00,2024-05-03 12:00:00,2021-11-30 12:00:00,2021-12-27 12:00:00,G - Morocco 5 Day 8h w/Holidays,
25,LOE-C160,113441,4829,1073271,Priorité N°2,Not Started,TS - Add. Tanks Electrical Works [LOE],2023-01-12 08:00:00,2023-12-12 16:00:00,2024-05-16 08:00:00,2025-04-22 16:00:00,1848.0000000000,1848.000000,1848.0000000000,100.0000000000,,23922.000000,.000000,,,-6248.000000,.0000000000,Level Of Effort,,,2024-05-16 08:00:00,2025-04-22 16:00:00,2022-01-25 08:00:00,2022-03-14 16:00:00,G - Morocco 5 Day 8h w/Holidays,
26,LOE-C400,113442,4829,1073271,Priorité N°2,In Progress,TS -  Video Surveillance System [LOE],2018-08-27 00:00:00,2022-12-13 16:00:00,2018-08-27 00:00:00,2024-01-16 16:00:00,8640.0000000000,88.000000,10832.0000000000,100.0000000000,,4872.000000,.000000,,,-3816.000000,.0000000000,Level Of Effort,2018-08-27 00:00:00,,2023-12-29 08:00:00,2024-01-16 16:00:00,2022-02-28 16:00:00,2022-02-28 16:00:00,G - Morocco 5 Day 8h w/Holidays,
27,LOE-C150,113443,4829,1073270,Priorité N°1,Completed,DO- Electrical works [LOE],2019-06-14 08:00:00,2019-06-14 08:00:00,2019-06-14 08:00:00,2019-06-14 08:00:00,.0000000000,.000000,.0000000000,100.0000000000,,530.000000,.000000,,,,.0000000000,Level Of Effort,2019-06-14 08:00:00,2019-06-14 08:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
28,LOE-C300,113444,4829,1073270,Priorité N°1,Completed,DO - Piping Works [LOE],2019-03-01 00:00:00,2019-06-24 00:00:00,2019-03-01 00:00:00,2019-06-24 00:00:00,624.0000000000,.000000,624.0000000000,100.0000000000,,11116.000000,.000000,,,,.0000000000,Level Of Effort,2019-03-01 00:00:00,2019-06-24 00:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
29,LOE-C-300,113445,4829,1073270,Priorité N°1,In Progress,TS - Transfer - Electrical Works  [LOE],2019-11-15 00:00:00,2022-09-06 16:00:00,2019-11-15 00:00:00,2024-01-05 16:00:00,5664.0000000000,40.000000,8360.0000000000,100.0000000000,,7361.000000,.000000,,,-3688.000000,.0000000000,Level Of Effort,2019-11-15 00:00:00,,2023-12-29 08:00:00,2024-01-05 16:00:00,2022-03-08 08:00:00,2022-03-14 16:00:00,G - Morocco 5 Day 8h w/Holidays,
30,LOE-C-350,113446,4829,1073271,Priorité N°2,Not Started,TS - Silica Line - Electrical Works  [LOE],2023-04-03 10:00:00,2023-05-12 16:00:00,2024-08-09 10:00:00,2024-09-23 16:00:00,222.0000000000,222.000000,222.0000000000,100.0000000000,,5520.000000,.000000,,,-5536.000000,.0000000000,Level Of Effort,,,2024-08-09 10:00:00,2024-09-23 16:00:00,2021-11-12 10:00:00,2021-12-22 16:00:00,G - Morocco 5 Day 8h w/Holidays,
31,LOE-C-400,113447,4829,1073270,Priorité N°1,Completed,HS - Access  Structural [LOE],2018-01-04 00:00:00,2018-08-10 00:00:00,2018-01-04 00:00:00,2018-08-10 00:00:00,1208.0000000000,.000000,1208.0000000000,100.0000000000,,1018.000000,.000000,,,,.0000000000,Level Of Effort,2018-01-04 00:00:00,2018-08-10 00:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
32,LOE-C-450,113448,4829,1073271,Priorité N°2,Completed,BA - Access Structural  [LOE],2018-04-09 00:00:00,2018-08-24 00:00:00,2018-04-09 00:00:00,2018-08-24 00:00:00,720.0000000000,.000000,720.0000000000,100.0000000000,,1099.000000,.000000,,,,.0000000000,Level Of Effort,2018-04-09 00:00:00,2018-08-24 00:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
33,LOE-C-33,113449,4829,1073271,Priorité N°2,Completed,TS - Loop Civil works [LOE],2017-09-30 00:00:00,2017-10-20 16:30:00,2017-09-30 00:00:00,2017-10-20 16:30:00,120.0000000000,.000000,120.0000000000,100.0000000000,7029,605.000000,605.000000,,,,100.0000000000,Level Of Effort,2017-09-30 00:00:00,2017-10-20 16:30:00,,,,,G - Morocco 5 Day 8h w/Holidays,
34,LOE-C-35,113450,4829,1073271,Priorité N°2,Completed,TS - Loop Structural Part [LOE],2017-12-28 00:00:00,2018-01-19 16:30:00,2017-12-28 00:00:00,2018-01-19 16:30:00,120.0000000000,.000000,120.0000000000,100.0000000000,7030,847.000000,700.000000,,,,100.0000000000,Level Of Effort,2017-12-28 00:00:00,2018-01-19 16:30:00,,,,,G - Morocco 5 Day 8h w/Holidays,
35,LOE-C-500,113451,4829,1073271,Priorité N°2,Completed,TS - Loop Piping Works [LOE] TO BE CHEKED,2017-10-23 07:30:00,2018-02-02 00:00:00,2017-10-23 07:30:00,2018-02-02 00:00:00,560.0000000000,.000000,560.0000000000,100.0000000000,7032,9992.000000,2000.000000,,,,100.0000000000,Level Of Effort,2017-10-23 07:30:00,2018-02-02 00:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
36,LOE-C320,113452,4829,1073270,Priorité N°1,Completed,PMS & VS - Structural Parts [LOE],2018-07-09 00:00:00,2018-08-24 00:00:00,2018-07-09 00:00:00,2018-08-24 00:00:00,224.0000000000,.000000,224.0000000000,100.0000000000,,3797.000000,.000000,,,,.0000000000,Level Of Effort,2018-07-09 00:00:00,2018-08-24 00:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
37,LOE-C370,113453,4829,1073270,Priorité N°1,Completed,DO-  Video Surveillance System [LOE],2018-07-27 00:00:00,2019-02-06 08:00:00,2018-07-27 00:00:00,2019-02-06 08:00:00,1016.0000000000,.000000,1016.0000000000,100.0000000000,,1183.000000,.000000,,,,.0000000000,Level Of Effort,2018-07-27 00:00:00,2019-02-06 08:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
38,LOE-C-550,113454,4829,1073270,Priorité N°1,Completed,TS - Transfer Civil Works [LOE],2017-12-26 00:00:00,2019-09-30 08:00:00,2017-12-26 00:00:00,2019-09-30 08:00:00,3472.0000000000,.000000,3472.0000000000,100.0000000000,,818.000000,40.000000,,,,100.0000000000,Level Of Effort,2017-12-26 00:00:00,2019-09-30 08:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
39,LOE-C-650,113455,4829,1073270,Priorité N°1,In Progress,TS - Transfer Piping Works [LOE],2019-09-30 00:00:00,2022-10-20 09:12:00,2019-09-30 00:00:00,2024-02-05 09:12:00,6169.2000000000,193.200000,8769.2000000000,100.0000000000,,43491.000000,.000000,,,-5324.200000,.0000000000,Level Of Effort,2019-09-30 00:00:00,,2023-12-29 08:00:00,2024-02-05 09:12:00,2021-05-27 11:48:00,2021-06-16 13:00:00,G - Morocco 5 Day 8h w/Holidays,
40,LOE-C-750,113456,4829,1073271,Priorité N°2,Not Started,TS - Silica Line Structural Parts [LOE],2023-03-28 08:00:00,2023-06-12 16:00:00,2024-08-05 08:00:00,2024-10-22 16:00:00,424.0000000000,424.000000,424.0000000000,100.0000000000,,1311.000000,.000000,,,-5824.000000,.0000000000,Level Of Effort,,,2024-08-05 08:00:00,2024-10-22 16:00:00,2021-06-30 08:00:00,2021-12-01 16:00:00,G - Morocco 5 Day 8h w/Holidays,
41,LOE-C-800,113457,4829,1073271,Priorité N°2,In Progress,TS - Add. Tanks Structural Parts [LOE],2022-09-21 08:00:00,2022-12-22 16:00:00,2022-11-14 08:00:00,2024-03-20 16:00:00,528.0000000000,456.000000,2728.0000000000,100.0000000000,,10686.000000,.000000,,,-4548.000000,.0000000000,Level Of Effort,2022-11-14 08:00:00,,2023-12-29 08:00:00,2024-03-20 16:00:00,2021-11-05 12:00:00,2021-12-24 12:00:00,G - Morocco 5 Day 8h w/Holidays,
42,LOE-C-805,113458,4829,1073271,Priorité N°2,Not Started,TS - Silica Line Piping Works [LOE],2023-03-08 08:00:00,2023-08-28 16:00:00,2024-07-15 08:00:00,2025-01-06 16:00:00,944.0000000000,944.000000,944.0000000000,100.0000000000,,.000000,.000000,,,-5656.000000,.0000000000,Level Of Effort,,,2024-07-15 08:00:00,2025-01-06 16:00:00,2021-10-18 08:00:00,2022-03-14 16:00:00,G - Morocco 5 Day 8h w/Holidays,
43,LOE-C-900,113459,4829,1073271,Priorité N°2,Not Started,TS - Add Tanks Piping Works [LOE],2022-12-02 08:00:00,2023-01-23 16:00:00,2024-03-12 08:00:00,2024-04-24 16:00:00,288.0000000000,240.000000,240.0000000000,100.0000000000,,.000000,.000000,,,-4724.000000,.0000000000,Level Of Effort,,,2024-03-12 08:00:00,2024-04-24 16:00:00,2021-11-05 08:00:00,2021-12-27 12:00:00,G - Morocco 5 Day 8h w/Holidays,
44,LOE-C-910,113460,4829,1073271,Priorité N°2,Completed,TS - Access Structural parts [LOE],2018-06-18 00:00:00,2018-12-14 00:00:00,2018-06-18 00:00:00,2018-12-14 00:00:00,960.0000000000,.000000,960.0000000000,100.0000000000,,1457.000000,.000000,,,,.0000000000,Level Of Effort,2018-06-18 00:00:00,2018-12-14 00:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
45,LOE-C-840,113461,4829,1073270,Priorité N°1,Completed,DO - Add. Tanks Structural Parts [LOE],2018-10-09 00:00:00,2019-04-24 09:36:00,2018-10-09 00:00:00,2019-04-24 09:36:00,1097.6000000000,.000000,1097.6000000000,100.0000000000,,.000000,.000000,,,,.0000000000,Level Of Effort,2018-10-09 00:00:00,2019-04-24 09:36:00,,,,,G - Morocco 5 Day 8h w/Holidays,
46,LOE-C380,113462,4829,1073270,Priorité N°1,In Progress,HS -  Video Surveillance System [LOE],2018-07-27 00:00:00,2022-09-08 12:48:00,2018-07-27 00:00:00,2024-01-09 12:48:00,8220.8000000000,52.800000,10916.8000000000,100.0000000000,,5507.000000,.000000,,,-3816.000000,.0000000000,Level Of Effort,2018-07-27 00:00:00,,2023-12-29 08:00:00,2024-01-09 12:48:00,2022-02-14 08:00:00,2022-02-22 12:48:00,G - Morocco 5 Day 8h w/Holidays,
47,LOE-C100,113463,4829,1073271,Priorité N°2,Not Started,BA - Civil works [LOE],2022-11-30 08:00:00,2023-02-22 14:24:00,2024-04-01 08:00:00,2024-06-28 14:24:00,478.4000000000,478.400000,478.4000000000,100.0000000000,,6290.000000,.000000,,,-7023.800000,.0000000000,Level Of Effort,,,2024-04-01 08:00:00,2024-06-28 14:24:00,2021-01-06 14:36:00,2021-01-06 14:36:00,G - Morocco 5 Day 8h w/Holidays,
48,LOE-C310,113464,4829,1073271,Priorité N°2,Not Started,BA - Structural Parts [LOE],2023-11-20 12:48:00,2023-12-04 12:48:00,2025-03-27 12:48:00,2025-04-14 12:48:00,80.0000000000,80.000000,80.0000000000,100.0000000000,,14732.000000,.000000,,,-6791.800000,.0000000000,Level Of Effort,,,2025-03-27 12:48:00,2025-04-14 12:48:00,2021-11-12 13:00:00,2021-11-29 13:00:00,G - Morocco 5 Day 8h w/Holidays,
49,LOE-C170,113465,4829,1073271,Priorité N°2,Not Started,BA - Mechanical Parts [LOE],2023-02-22 14:24:00,2023-12-15 12:48:00,2024-06-28 14:24:00,2025-04-25 12:48:00,1630.4000000000,1630.400000,1630.4000000000,100.0000000000,,98539.000000,.000000,,,-6863.800000,.0000000000,Level Of Effort,,,2024-06-28 14:24:00,2025-04-25 12:48:00,2021-01-06 14:36:00,2021-11-29 13:00:00,G - Morocco 5 Day 8h w/Holidays,
50,LOE-C270,113466,4829,1073271,Priorité N°2,Not Started,BA - Piping Works [LOE],2023-03-29 10:00:00,2023-12-04 12:48:00,2024-08-06 10:00:00,2025-04-14 12:48:00,1362.8000000000,1362.800000,1362.8000000000,100.0000000000,,40792.000000,.000000,,,-6711.800000,.0000000000,Level Of Effort,,,2024-08-06 10:00:00,2025-04-14 12:48:00,2021-09-15 13:00:00,2021-12-13 13:00:00,G - Morocco 5 Day 8h w/Holidays,
51,LOE-C130,113467,4829,1073271,Priorité N°2,Not Started,BA - Electrical works [LOE],2023-08-17 14:24:00,2023-12-29 12:48:00,2024-12-26 14:24:00,2025-05-12 12:48:00,742.4000000000,742.400000,742.4000000000,99.3534482759,,4776.000000,.000000,,,-6863.800000,.0000000000,Level Of Effort,,,2024-12-26 14:24:00,2025-05-12 12:48:00,2021-10-14 13:00:00,2021-12-13 13:00:00,G - Morocco 5 Day 8h w/Holidays,
52,LOE-C360,113468,4829,1073271,Priorité N°2,In Progress,BA -  Video Surveillance System [LOE],2018-08-03 00:00:00,2022-12-13 16:00:00,2018-08-03 00:00:00,2024-01-16 16:00:00,8728.0000000000,88.000000,10920.0000000000,100.0000000000,,1769.000000,.000000,,,-3816.000000,.0000000000,Level Of Effort,2018-08-03 00:00:00,,2023-12-29 08:00:00,2024-01-16 16:00:00,2022-02-22 12:48:00,2022-02-28 16:00:00,G - Morocco 5 Day 8h w/Holidays,
53,LOE-C340,113469,4829,1073270,Priorité N°1,Completed,DO - Structural Parts [LOE],2018-04-09 00:00:00,2018-08-24 00:00:00,2018-04-09 00:00:00,2018-08-24 00:00:00,720.0000000000,.000000,720.0000000000,100.0000000000,,1175.000000,.000000,,,,.0000000000,Level Of Effort,2018-04-09 00:00:00,2018-08-24 00:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
54,LOE-C180,113470,4829,1073270,Priorité N°1,Completed,DO - Mechanical Parts [LOE],2019-01-14 08:00:00,2019-06-12 00:00:00,2019-01-14 08:00:00,2019-06-12 00:00:00,832.0000000000,.000000,832.0000000000,100.0000000000,,3069.000000,.000000,,,,.0000000000,Level Of Effort,2019-01-14 08:00:00,2019-06-12 00:00:00,,,,,G - Morocco 5 Day 8h w/Holidays,
55,LOE-C110,113471,4829,1073270,Priorité N°1,In Progress,HS - Civil works [LOE],2022-09-29 08:00:00,2022-10-26 16:00:00,2022-09-17 00:00:00,2024-02-06 16:00:00,160.0000000000,208.000000,2800.0000000000,100.0000000000,,6290.000000,.000000,,,-4364.000000,.0000000000,Level Of Effort,2022-09-17 00:00:00,,2023-12-29 08:00:00,2024-02-06 16:00:00,2021-11-30 12:00:00,2021-12-14 12:00:00,G - Morocco 5 Day 8h w/Holidays,
56,LOE-C350,113472,4829,1073270,Priorité N°1,In Progress,HS - Add. Tanks Structural Parts [LOE],2022-12-09 08:00:00,2022-12-22 16:00:00,2022-09-21 00:00:00,2024-03-20 16:00:00,80.0000000000,456.000000,3032.0000000000,100.0000000000,,8409.000000,.000000,,,-4548.000000,.0000000000,Level Of Effort,2022-09-21 00:00:00,,2023-12-29 08:00:00,2024-03-20 16:00:00,2021-12-14 12:00:00,2021-12-24 12:00:00,G - Morocco 5 Day 8h w/Holidays,
57,LOE-C720,113473,4829,1073271,Priorité N°2,Not Started,TS - Silica Line Civil works [LOE],2023-01-04 08:00:00,2023-03-27 16:00:00,2024-05-09 08:00:00,2024-08-02 16:00:00,464.0000000000,464.000000,464.0000000000,100.0000000000,,1318.000000,.000000,,,-6232.000000,.0000000000,Level Of Effort,,,2024-05-09 08:00:00,2024-08-02 16:00:00,2021-04-08 08:00:00,2021-06-29 16:00:00,G - Morocco 5 Day 8h w/Holidays,
