,HierarchyPathID,CostObjectID,CostObjectName,OriginalGrossMargin,ActualGrossMargin,EACCostMargin,ClientPostedHours,ClientPostedCost,CostObjectHierarchyLevel,ProjectStartDate,ProjectEndDate,TimePeriod
16,Q24000.11,11,TECHNICAL AND ECONOMIC FEASIBILITY STUDY FOR THE TRANSFORMATION   OF “GUENTOUR & KHOURIBGUA” MINES TO GREEN MINING,939500,979176,944906,3758,6989727,1,2021-07-01,2021-12-01,2024-03
17,Q10091.11,11,Accompagnement de l'OCP pour le déploiem,131453,0,330883,304,330882,1,2022-04-01,2022-12-30,2024-03
18,Q40150.21,21,Support Cumin,929401,-45447,-45447,514,1684800,1,2019-10-19,2021-01-31,2024-03
19,Q40180.31,31,Backbone Support – Wave 1 golive,0,0,0,0,0,1,2020-03-01,2021-03-26,2024-03
20,Q12501.51,51,Révision de la Stockeuse N° 1 de BOUCRAA,741792,0,741792,3138,4820453,1,2024-02-01,2024-04-30,2024-03
21,GEN.GEN,GEN,GENERAL EXPENSE,0,0,0,0,0,1,,,2024-03
22,P3.PM,PM,PROJECT MANAGEMENT,0,0,0,0,0,1,,,2024-03
23,Q12550.11,11,Home Office Suffix 41,156681,126162,156681,2606,984228,1,2019-09-01,2020-10-30,2024-03
24,Q60160.11,11,Home Office Suffix 11,565688,-860110,565688,2388,3061430,1,2018-06-01,2020-06-26,2024-03
25,QBI207.11,11,Home Office Suffix 11,0,0,0,1038,191113,1,2020-02-01,2020-03-30,2024-03
26,Q56900.11,11,Home Office Suffix 11,0,0,-202272643,202337,117796090,1,2018-02-01,2022-09-30,2024-03
27,Q36120.11,11,Green Ammonia ISBL conceptual Suffix,1524811,494218,1524811,7040,4996538,1,2020-08-03,2021-01-29,2024-03
28,Q57190.11,11,Home Office Suffix 11,0,0,805725,10210,3865222,1,2020-06-05,2020-10-30,2024-03
29,Q22620.11,11,EIE STEP FKIH BENSALEH,0,0,0,1354,948611,1,2020-01-01,2020-12-31,2024-03
30,Q30030.11,11,Regularisation des autorisations d'exploiter Jorf Lasfar,0,0,0,1384,475929,1,2020-01-01,2020-12-31,2024-03
31,Q30060.11,11,Caracterisation de l'etat initial du site JORF LASFAR,188420,249808,188420,1085,1254953,1,2020-01-01,2020-12-31,2024-03
32,Q32810.11,11,OCP EFFLUENTS STUDY,0,0,0,1197,929500,1,2020-01-01,2020-12-31,2024-03
33,Q32830.11,11,OCP MARINE IMPACT ASSESMENT,939672,759970,955413,3002,9497976,1,2020-01-01,2020-12-31,2024-03
34,Q37080.11,11,"EIE &amp; SUIVI PROJETS RÉHABILITATION JPH, JPH2 ET REM4",1207578,1255313,1285214,7366,3400244,1,2020-01-01,2020-12-31,2024-03
35,Q75050.11,11,EIE-M'zinda Phosphate Hub,843468,644831,843468,5824,2513160,1,2019-09-01,2020-12-31,2024-03
36,Q80040.11,11,Caracterisation de l'etat initial du site SAFI,201750,112522,201750,1245,1214716,1,2020-01-01,2020-12-31,2024-03
37,Q93130.11,11,MARSA MAROC ENV DUE DILIGENCE,0,0,0,496,338386,1,2020-01-01,2020-12-31,2024-03
38,Q12480.11,11,Home Office Suffix 11,16547634,12378435,12385272,73896,49257556,1,2018-10-01,2019-09-30,2024-03
39,Q30050.11,11,Monitoring & Certification 140001 DI,2028480,1323917,2028480,13896,5693006,1,2020-01-01,2021-04-30,2024-03
40,Q21910.11,11,Slurry Pipeline Flexibility,15819152,11839266,18661697,83157,47603345,1,2017-09-30,2025-04-30,2024-03
41,Q12620.11,11,Home Office Suffix 11,734808,0,0,3674,2919600,1,2020-01-01,2021-04-30,2024-03
42,Q98020.11,11,Home Office Suffix 11,0,0,-641244,11058,4670366,1,2020-08-01,2022-08-31,2024-03
43,Q36150.11,11,Home Office Suffix 11,3074420,6754631,6754631,15781,8590139,1,2019-06-01,2021-02-28,2024-03
44,Q35520.11,11,Home Office Suffix 11,9887238,10002155,10162666,50241,29835933,1,2015-01-01,2024-02-29,2024-03
45,Q12710.11,11,Home Office Suffix 11,14579,0,0,52,42400,1,2020-11-09,2020-12-31,2024-03
46,Q12700.11,11,Home Office Suffix 11,19199,0,0,64,67837,1,2020-11-02,2021-04-30,2024-03
47,Q40210.11,11,Kasbah,0,0,0,1399,1338467,1,2020-11-11,2020-12-31,2024-03
48,Q12390.11,11,Home Office Suffix 11,4556270,11827835,11823902,20520,13794807,1,2018-05-01,2019-09-30,2024-03
49,Q12331.11,11,Home office Suffix 11,475319,554801,560664,1018,1989032,1,2020-03-01,2021-10-29,2024-03
50,QBC190.11,11,Home Office Suffix 11,0,0,10593,2262,912877,1,2019-03-01,2020-06-30,2024-03
51,Q36110.11,11,Hybrid Green Ammonia with Sulfuric Acid Prod,0,0,0,3168,4233907,1,2020-10-01,2021-02-01,2024-03
52,Q12541.11,11,Home Office Suffix 11,316810,372235,316810,1736,1811747,1,2020-09-01,2021-02-28,2024-03
53,Q32360.11,11,ELECTROTHERMAL STUDY,0,0,0,1642,1649592,1,2021-01-01,2021-04-01,2024-03
54,Q12280.11,11,Home Office Suffix 11,891414,888982,891412,5246,3363999,1,2020-11-01,2021-10-30,2024-03
55,Q40250.11,11,Accompagnement pour le développement des modèles et de design,406866,-784633,-784633,294,730000,1,2020-12-10,2022-02-05,2024-03
56,Q92151.11,11,Home Office Suffix 11,160713,0,160713,815,2650440,1,2020-12-22,2021-03-31,2024-03
57,Q54780.11,11,Home Office Suffix 11,0,0,5268381,103276,40292551,1,2021-01-01,2021-01-29,2024-03
58,Q11930.11,11,BLOC 6 MAINTENANCE EXCELLENCE,0,0,0,69432,66804965,1,2021-03-01,2022-02-28,2024-03
59,Q32230.11,11,Power Plant Connection and integration at Jorf lasfar,0,0,0,16227,7716008,1,2021-10-01,2024-09-27,2024-03
60,Q10410.11,11,OCP HSE Task Force OPS Khouribga,1171081,918188,2140440,5296,3247373,1,2021-10-01,2024-07-01,2024-03
61,Q10420.11,11,OCP HSE Task Force OPS Gantour,970487,719052,-933303,5296,2862449,1,2021-10-01,2024-04-30,2024-03
62,Q10430.11,11,OCP HSE Task Force OPS Safi,445213,2102752,1427424,4152,2071941,1,2021-10-01,2024-05-01,2024-03
63,Q30190.11,11,DRYING OF FERTILIZERS USING COGENERATION STEAM SOLUTIONS FOR A FERTILIZER PRODUCTION UNIT  WITH A CAPACITY OF 1 MT / YEA,0,0,0,1398,1129408,1,2021-10-01,2021-12-31,2024-03
64,Q54820.11,11,Hotel Palais Jamai PMC,0,-180,-4447,26283,11768662,1,2021-05-24,2025-03-31,2024-03
65,Q22640.11,11,Home Office Suffix 11,0,0,-14068091,32891,15825302,1,2021-07-01,2024-06-28,2024-03
66,Q54810.11,11,Villas VIP Benguerir PMC,0,0,463632,24780,8301365,1,2021-11-01,2022-07-31,2024-03
67,Q22630.11,11,Home Office Suffix 11,0,-26739,-5007271,30679,14898033,1,2021-07-01,2024-06-28,2024-03
68,Q32410.11,11,INFRASTRUCTURE STUDY FOR NEW PROJECTS IN JORF LASFAR,0,0,0,5019,2270903,1,2021-10-01,2021-12-01,2024-03
69,Q54850.11,11,Lion 1 PMC,0,0,-7970632,33348,14676417,1,2021-11-01,2022-11-30,2024-03
70,Q57210.11,11,Home Office Suffix 11,0,0,-2011964,3711,1880960,1,2021-03-05,2021-06-25,2024-03
71,Q98050.11,11,Home Office Suffix 11,0,0,0,3102,1489230,1,2021-03-05,2021-06-25,2024-03
72,Q98060.11,11,Home Office Suffix 11,1926437,0,1926437,6428,3987744,1,2021-03-01,2022-02-27,2024-03
73,Q98070.11,11,Home Office Suffix 11,0,0,0,236,819509,1,2021-03-01,2022-02-27,2024-03
74,Q98080.11,11,Home Office Suffix 11,0,0,0,2223,713515,1,2021-10-01,2021-12-31,2024-03
75,Q54860.11,11,Home Office Suffix 11,0,0,12532330,379489,118860495,1,2021-08-01,2022-12-31,2024-03
76,Q91500.11,11,Home Office Suffix 11,35417,0,0,156,257280,1,2021-09-20,2021-10-19,2024-03
77,Q40380.11,11,MINING 4.0: MINING OPERATIONS LAB,0,0,998863,2371,3263179,1,2021-12-08,2022-02-28,2024-03
78,Q30200.11,11,DCS capabilities building and upgrade,0,0,44405,390,256090,1,2021-12-20,2022-01-21,2024-03
79,Q34400.11,11,Home Office Suffix 11,0,0,0,9702,6528336,1,2021-08-02,2022-09-30,2024-03
80,Q36570.11,11,Home Office Suffix 31,2360418,3493556,2978826,14520,6886678,1,2021-12-20,2022-05-31,2024-03
81,Q54730.11,11,Home Office Suffix 11,0,0,-974006,1510,878964,1,2021-11-29,2022-03-27,2024-03
82,Q22720.11,11,Rooftop Photovoltaic Projects,0,0,1001559,2711,1686689,1,2021-12-01,2022-03-25,2024-03
83,Q22730.11,11,Floating Photovoltaic Plants,0,0,318812,2517,1495489,1,2021-12-01,2022-02-25,2024-03
84,Q30210.11,11,DCS capabilities building and upgrade,0,0,0,326,221552,1,2022-01-24,2022-02-25,2024-03
85,Q11960.11,11,Facility Management Data Center,4490463,944865,924321,24482,12421001,1,2022-01-01,2022-12-31,2024-03
86,Q11100.11,11,JFCs Hazardous Reparation,988857,591799,977352,5835,8033433,1,2021-12-01,2023-11-30,2024-03
87,Q11102.11,11,Due Diligence for Solvevo,400847,281073,281073,1457,1295575,1,2022-01-06,2022-02-11,2024-03
88,Q60230.11,11,IPCC Gantour,0,0,0,13618,12105715,1,2021-12-27,2022-06-30,2024-03
89,Q22650.11,11,Detail Engineering,0,1479621,1464248,20918,9971508,1,2021-12-01,2024-02-29,2024-03
90,Q66060.11,11,"PFC: niveau de plateforme, systeme de drainage et terrassement",2014254,0,95177,7920,4800000,1,2019-07-01,2022-05-27,2024-03
91,Q40410.11,11,JFC5,0,0,252172,4795,3603245,1,2022-02-16,2022-07-15,2024-03
92,Q12640.11,11,Etude de solutions d'accès pour la maintenance des vannes de réception au niveau des tanks de la station terminale,108837,0,0,717,366110,1,2021-10-11,2022-02-09,2024-03
93,Q32740.11,11,"TECHNICO-ECONOMIC FEASIBILITY STUDY FOR THE REALIZATION OF A ""COLLING TOWER"" FORCED COOLING SYSTEM AT JORF LASFAR.",0,0,838924,2420,838924,1,2022-01-01,2022-03-31,2024-03
94,Q11122.11,11,Laayoune Drying Plant Revamping - HSE Support,787901,213164,831518,3479,2371578,1,2022-09-16,2023-03-16,2024-03
95,Q22102.11,11,General,7272969,4978221,6103802,30018,19453292,1,2022-10-17,2023-11-17,2024-03
96,Q11110.11,11,PS4 Operational readiness,3801457,1303666,1679005,20362,11745866,1,2022-11-01,2023-07-31,2024-03
97,Q21203.11,11,Conceptual Study of Beni Amir Exp SP,2666315,0,2666315,7857,8854187,1,2024-08-01,2024-12-31,2024-03
98,Q21202.11,11,Conceptual Study of Beni Amir Exp WP,6121673,0,6121673,18848,16366971,1,2022-12-01,2024-02-29,2024-03
99,Q39000.11,11,Construction of 10 new CAP JLN/JLS,0,0,0,0,0,1,2022-04-23,2022-07-22,2024-03
100,Q33200.11,11,Design review for MAP Soluble Plant Reac,73116,25926,73116,196,187775,1,2022-02-01,2022-10-31,2024-03
101,Q36214.11,11,Home Office Suffix 11,23694,0,23694,0,418591,1,2022-04-29,2023-08-01,2024-03
102,Q91160.11,11,Réhabiliation Guelb 1,387229,-748790,1085271,1090,997799,1,2022-01-26,2023-02-24,2024-03
103,Q91220.11,11,PREAWARD SUPPORT,156520,108498,156520,1556,156520,1,2022-11-01,2023-03-21,2024-03
104,Q11114.11,11,Solid Sulfur Port Superstructure,20227641,0,-21519715,149490,168743978,1,2022-11-28,2027-11-30,2024-03
105,Q12780.11,11,Etude des solutions d'adaptation de la laverie de SAFI,1420412,1017873,1025439,7167,4840692,1,2022-11-01,2023-03-31,2024-03
106,Q36700.11,11,General,1114407,277868,1145546,4800,3262153,1,2022-11-25,2023-06-29,2024-03
107,Q10076.11,11,General,143416,183886,183886,7260,2192215,1,2022-11-01,2023-05-31,2024-03
108,Q11115.11,11,JFC1 Maintenance Excellence Execution LS,19788009,0,35552765,133502,167297700,1,2023-01-02,2023-12-29,2024-03
109,Q36213.11,11,Suffix 11,7968097,7625193,25096333,55223,27046889,1,2023-01-02,2023-12-29,2024-03
110,Q11116.11,11,JFC2 Maintenance Excellence Execution Y1,19302427,0,19302487,133502,167297700,1,2023-01-01,2023-12-29,2024-03
111,Q11118.11,11,JFC4 Maintenance Excellence Execution Y1,19302427,0,19302487,133502,167297700,1,2023-01-01,2023-12-29,2024-03
112,Q11124.11,11,Q11124  Laayoune Accompagnement et Support Technique Laayoune,5307030,2091830,5307030,41173,19248034,1,2022-11-01,2024-05-31,2024-03
113,Q11121.11,11,Q11121  Laayoune Phosboucraa HSE Task Force,1070047,267809,-1752401,6195,4137047,1,2022-12-08,2023-04-07,2024-03
114,Q37026.11,11,General,1969385,1763330,1321438,9473,6398089,1,2023-02-01,2023-04-30,2024-03
115,Q11125.11,11,Q11125  Laayoune Reclaimer Diagnostic,1403944,696096,1573954,12090,7862271,1,2022-12-01,2023-09-01,2024-03
116,Q10027.11,11,Mission contrôle technique MFR Martini,5543,0,11086,12,25632,1,2022-11-01,2023-12-30,2024-03
117,Q11127.11,11,Q11127  Laayoune New Wash Plant,8481078,1163400,8481078,50554,32227740,1,2022-12-15,2023-12-15,2024-03
118,Q11126.11,11,Supervision support- OIJ General Services,3751154,1849519,4123553,27525,13529341,1,2023-01-01,2024-01-01,2024-03
119,Q11103.11,11,JLN Fertilizers Plants,66478605,0,16562650,416400,520591083,1,2022-03-01,2024-02-28,2024-03
120,Q82020.11,11,Central Axis TSP,0,0,0,0,0,1,2022-09-01,2024-09-20,2024-03
121,Q82180.11,11,MPH Safi corridor,22044540,4575299,22044444,123415,87019874,1,2023-06-01,2024-06-29,2024-03
122,Q82030.11,11,Central Axis - MPH OSBL,0,8673347,0,0,0,1,2022-11-01,2024-08-30,2024-03
123,Q82170.11,11,Benguerir Louta MPH Corridor,11064736,3024565,11064736,60379,40575635,1,2023-06-01,2024-03-30,2024-03
124,Q82040.11,11,Central Axis-Louta Beneficiation,2145187,2085788,2145187,12045,6737982,1,2022-09-30,2027-02-07,2024-03
125,Q82130.11,11,Central Axis- Louta Mine,1284676,1418043,1284676,6870,3864423,1,2022-08-15,2026-11-16,2024-03
126,Q82280.11,11,Central Axis-Louta Utilities,0,149879,0,0,0,1,2022-10-15,2026-12-16,2024-03
127,Q82260.11,11,Central Axis - MPH Master plan,2447364,3155608,2447364,18634,8999604,1,2022-11-01,2024-08-30,2024-03
128,QBI207.21,21,Home Office Suffix 21,0,0,31570,15604,5130776,1,2020-02-01,2020-03-30,2024-03
129,QBC190.21,21,Home Office Suffix 21,0,0,0,2120,805209,1,2019-03-01,2020-06-30,2024-03
130,Q22700.21,21,Mines Solare PV,0,0,-2331613,37971,39449447,1,2022-04-20,2024-07-03,2024-03
131,Q37300.21,21,Conceptual Engineering,0,-228235,-289838431913474,23637,12786076,1,2020-12-28,2021-08-27,2024-03
132,QBP190.21,21,Laayoune New Port,42242518,38991830,50522571,127508,115640499,1,2020-01-01,2023-02-28,2024-03
133,Q31250.21,21,Conceptual Design,1786550,691485,691485,7488,6338195,1,2021-02-08,2024-01-01,2024-03
134,Q40280.21,21,Home Office Suffix 21,0,0,-1200,1629,1183510,1,2021-04-19,2021-08-06,2024-03
135,QU3730.21,21,OCP PMP Expansion,0,0,-25549,773,900420,1,2021-03-15,2021-06-11,2024-03
136,Q40180.21,21,Backbone Wave II,0,0,-1251607,2584,2351756,1,2020-03-01,2021-03-26,2024-03
137,Q30180.21,21,IMACID Granulation Plant,0,0,-632127696,3166,2893616,1,2022-01-24,2022-03-11,2024-03
138,Q40320.21,21,Carbon Support - SBTi Roadmap,0,0,-33406,770,1273376,1,2021-07-26,2021-12-31,2024-03
139,Q12690.21,21,Home Office Suffix 21,0,0,0,4294,1910346,1,2020-08-10,2021-04-09,2024-03
140,Q40310.21,21,TDO V5 Jorf,0,0,-158036,3498,2347072,1,2021-02-08,2021-07-02,2024-03
141,Q40300.21,21,TDO V5 Khouribga,0,0,-304732,3469,2377353,1,2021-01-25,2021-07-02,2024-03
142,Q40250.21,21,Outil Supply chain,3111078,3493769,3493769,2092,5186000,1,2020-12-10,2022-02-05,2024-03
143,Q32250.21,21,Home Office Suffix 21,0,0,0,2160,1009791,1,2021-07-05,2024-06-30,2024-03
144,Q40370.21,21,Outil Supply Chain 2,4719151,1484959,3359737,3798,7800232,1,2021-10-01,2022-06-24,2024-03
145,Q65000.21,21,PFC PMC 2020,3676337,4220938,4366413,12975,15015091,1,2020-01-01,2025-12-31,2024-03
146,Q40350.21,21,OCP Transportation model 2,0,0,25878,1689,1163665,1,2021-08-23,2021-12-17,2024-03
147,Q40330.21,21,GREEN WATER FOR NON -OCP DEMAND,0,0,0,676,476962,1,2021-05-14,2021-09-30,2024-03
148,Q32040.21,21,Engineering & construction support,8835213,3791833,13550315,33912,24351327,1,2022-11-02,2024-11-25,2024-03
149,Q33911.21,21,Assistance PMC pour la Modification Des Portiques à Vis du Quai 4bis au Port de Jorf Lasfar,1973097,1197521,1967099,7912,5150571,1,2022-03-08,2022-11-08,2024-03
150,Q66400.21,21,PFC PROGRAM MANAGEMENT,40859803,17571780,42299550,105185,130343619,1,2022-04-01,2025-09-30,2024-03
151,Q66320.21,21,PFC - GRANULATION (TSP),133582379,23320631,115004185,595562,416022689,1,2022-05-01,2024-12-31,2024-03
152,Q40380.21,21,MINING 4.0:  Track 2,0,0,909631,4106,14711665,1,2021-12-08,2022-02-28,2024-03
153,Q66380.21,21,PFC - ENERGY,51634356,14412618,95839047,250138,164607537,1,2022-04-01,2025-11-27,2024-03
154,Q72001.21,21,Liaison UL_UC,1823090,842088,1012632,8189,4919691,1,2022-04-11,2022-09-23,2024-03
155,Q66350.21,21,PFC - LPH STORAGE & HANDLING,47174998,3501310,47420544,218162,152060002,1,2022-07-01,2025-12-31,2024-03
156,Q40450.21,21,Logistics BU set up,0,0,-50936,576,482164,1,2022-04-25,2022-07-01,2024-03
157,Q66360.21,21,PFC - LPH PROCESS,34815106,5416961,34831035,161341,108304569,1,2022-06-13,2025-09-22,2024-03
158,Q66370.21,21,PFC - LPH INFRASTRUCTURE,57318786,14362314,57597224,235038,166116303,1,2022-09-20,2023-12-31,2024-03
159,Q66330.21,21,PFC - PAP,107507413,25322586,102027332,407926,315327672,1,2022-07-22,2024-12-31,2024-03
160,Q66340.21,21,PFC - SAP,72266993,26374483,81879991,301328,198146080,1,2022-05-28,2026-02-09,2024-03
161,Q33030.21,21,Suffix 21,4488867,2080223,4498701,20378,11987032,1,2022-08-01,2023-08-31,2024-03
162,Q70020.21,21,Fire FIghting system upgrade in OCP Gantour,439980,6766885,28905276,1286,2235170,1,2022-04-01,2024-12-31,2024-03
163,Q91160.21,21,F'Derick,258650,396350,258650,739,742755,1,2022-01-26,2023-02-24,2024-03
164,Q75070.21,21,MPH Plateforming-M'zinda,13415912,12702348,13415912,0,237014454,1,2022-04-29,2023-04-29,2024-03
165,Q61000.31,31,BENGUERIR AREA PHASE 1  PROCUREMENT,409063,431651,409063,0,7226770,1,2022-06-01,2022-07-31,2024-03
166,QBI197.31,31,Home Office Suffix 31,0,0,80000,4048,1101348,1,2019-09-23,2020-09-25,2024-03
167,Q32130.31,31,GENERAL,596380,11292344,55971594,1946,5030975,1,2022-04-01,2026-02-24,2024-03
168,Q66050.31,31,Fire Fighting Program - Laayoune Project,421888,551063,3470370,1346,2190651,1,2022-04-04,2025-09-30,2024-03
169,Q37091.31,31,CAP JFC V,6981535,4456667,5723618,32659,21032750,1,2022-09-16,2024-03-01,2024-03
170,Q37290.31,31,Home Office Suffix 31,101017,5563745,2052285,440,1821118,1,2022-09-30,2023-01-06,2024-03
171,QINS00.31,31,Lifting & Handling Training Course,0,0,0,712,767422,1,2022-09-01,2023-04-28,2024-03
172,Q36214.31,31,Home Office Suffix 31,2143775,0,2143775,0,37873358,1,2022-04-29,2023-08-01,2024-03
173,Q37092.31,31,General,2403553,-3805929,2400460,21167,11975000,1,2023-01-02,2024-03-29,2024-03
174,Q32131.31,31,FF Program  In Progress Order JFC14,13526856,6303397,13944955,0,238974464,1,2022-11-01,2025-07-31,2024-03
175,Q11201.31,31,Mining Operation Lab,113208,-503632,7975680,19794,16219970,1,2023-04-01,2024-01-31,2024-03
176,Q31250.31,31,Conceptual Design,809202,535707,859601,3042,2573186,1,2021-02-08,2024-01-01,2024-03
177,Q31260.31,31,Phosphoric acid treatment Trace Element Bridge WO,572660,166160,572663,2236,1741751,1,2023-04-14,2023-06-30,2024-03
178,Q31261.31,31,Phosphoric Acid Treatement (Trace Element),11920540,4289014,12047367,57913,33923866,1,2023-07-17,2024-03-15,2024-03
179,Q11304.31,31,"Mobile Desalination Plant City, Site & STEP",0,0,0,0,0,1,2023-10-18,2024-10-18,2024-03
180,Q36130.31,31,GAPP 4T/D - OSBL - DEFINE,6866654,1088533,6866607,47354,27334246,1,2021-08-20,2021-12-31,2024-03
181,Q12201.31,31,General,2862429,30239,2862436,11405,7646320,1,2023-04-01,2024-01-31,2024-03
182,Q37093.31,31,General,0,0,0,0,0,1,2023-09-16,2024-05-01,2024-03
183,Q11402.31,31,Benguerir Wash Plant MEE Phase 1-Y1,2405660,-1498375,7164770,62304,68804429,1,2023-11-01,2028-10-31,2024-03
184,Q11109.31,31,"DAP Line D,E,F MEE First Year",3160189,-31224127,17317417,105864,98359985,1,2022-08-01,2023-01-31,2024-03
185,Q11131.31,31,General,11171248,0,11171248,100584,50700000,1,2024-01-01,2024-12-31,2024-03
186,Q66210.3L,3L,Laayoune PAP Process Design Package Plus,4611865,6008195,6008195,11892,15842181,1,2019-08-09,2020-04-30,2024-03
187,Q66310.3L,3L,Home Office Lakeland,1,0,-4320137,7703,10337513,1,2018-05-02,2018-12-31,2024-03
188,Q37022.3L,3L,OCP AHF Plant Conceptual,0,0,-27630,796,783592,1,2020-11-01,2021-06-01,2024-03
189,Q60170.41,41,Benguerir Benificiation Plant - DD,0,0,-3501,155483,69349178,1,2018-02-01,2019-05-31,2024-03
190,Q21540.41,41,Bridge Repulping storage Phases 4 5,25692576,17886626,26961894,138265,74896564,1,2019-03-01,2020-08-31,2024-03
191,Q40120.41,41,KHOURIBGA,5090586,0,0,5128,8517500,1,2020-07-20,2020-12-31,2024-03
192,Q66000.41,41,Home Office Suffix,417632,3729510,1674699,528,1604886,1,2019-02-26,2021-02-26,2024-03
193,Q21500.41,41,DOWNSTREAM EPCM.,160510607,147224878,160510607,703992,552116867,1,2011-08-01,2019-07-31,2024-03
194,Q34901.41,41,JORF DESALINATION PHASE 4,0,0,0,36485,14208005,1,2020-11-25,2021-07-30,2024-03
195,QBI207.41,41,Home Office Suffix 41,0,0,200,448,126258,1,2020-02-01,2020-03-30,2024-03
196,QBI200.41,41,Home Office Suffix 01,0,0,-375792,2358,1565500,1,2020-02-24,2022-02-25,2024-03
197,QBI201.41,41,Home Office Suffix,0,0,-1965886551,1360,552024,1,2020-11-30,2022-04-29,2024-03
198,Q34902.41,41,SWRO phase 2 - Supply chain services,0,0,-40126,4405,1985886,1,2020-12-01,2021-06-30,2024-03
199,Q31220.41,41,Home Office Suffix 41,1110069,13320182,13542870,4338,2903097,1,2021-04-01,2023-12-29,2024-03
200,Q40250.41,41,Outil Pricing de la Roche,683727,747076,740515,534,1242000,1,2020-12-10,2022-02-05,2024-03
201,Q80130.52,52,SPH Platform Electrical-Poste 400 KV,0,0,103135,16119,7495771,1,2022-04-01,2023-01-27,2024-03
202,Q12740.52,52,Controle Des soudures NDT,17864,17864,17864,0,315594,1,2021-08-30,2023-12-20,2024-03
203,QBI190.61,61,Home Office Suffix 61,2139674,392916,2656822,11300,6087020,1,2019-09-27,2022-07-29,2024-03
204,Q31050.61,61,Home Office Suffix 61,20983274,24992628,28443340,110040,75806581,1,2019-07-01,2021-04-30,2024-03
205,Q80160.61,61,Suffix 61,0,0,0,58505,31641286,1,2020-01-15,2022-12-30,2024-03
206,QBI200.61,61,Home Office Suffix 01,0,-189879,-253444,3396,1550045,1,2020-02-24,2022-02-25,2024-03
207,QI9200.61,61,Nigeria Bulk Blending: Sokoto,1435872,1240293,1233100,8690,4140054,1,2020-01-20,2020-08-30,2024-03
208,Q32170.61,61,JPH Electrical Projects - Construction Supervision,3578983,4480231,4594714,18286,9965531,1,2021-10-22,2024-06-14,2024-03
209,Q31110.61,61,Home Office Suffix 61,1439499,3840567,1439499,6986,4112699,1,2019-09-28,2020-06-26,2024-03
210,Q37011.61,61,Home Office Suffix 61,696366,418283,984117,4475,2000706,1,2022-06-01,2022-06-30,2024-03
211,Q60150.61,61,Benguerir Beneficiation Plant - Commissioning,5803327,766707,5811516,33854,18596073,1,2018-02-01,2024-03-31,2024-03
212,Q32150.71,71,Long Sea Outfalls Dispersion and Sedimentation Study in Jorf Lasfar,1141304,971772,1141304,2557,8778990,1,2019-10-01,2020-05-29,2024-03
213,QBI201.71,71,Home Office Suffix,0,0,0,2884,990272,1,2020-11-30,2022-04-29,2024-03
214,Q37041.71,71,Home Office Suffix 41,1527274,908950,926824,7704,4121509,1,2021-08-02,2021-12-31,2024-03
215,Q70900.71,71,Massira Water Supply,743680,280654,446488,4760,2421549,1,2022-04-01,2022-07-29,2024-03
216,Q37012.71,71,Home Office suffix 71,1124322,0,1124322,8608,3498224,1,2023-05-22,2024-03-31,2024-03
217,Q37010.81,81,SAP POWER PLANT,22350427,21608809,20894006,90180,57148149,1,2018-01-01,2023-01-01,2024-03
218,QT4101.81,81,Home Office Suffix 81,0,0,0,0,0,1,2010-04-02,2023-12-31,2024-03
219,QBI201.91,91,Home Office Suffix,0,-243368,-2193,8093,2241474,1,2020-11-30,2022-04-29,2024-03
